system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,EVI,GNDVI,NBR,NDMI,NDVI,SAVI,aspect,elevation,precipitation,slope,.geo
64_0,4349.0,4015.0,1776.5,2263.5,2815.0,3078.0,3197.5,3342.0,3357.0,3384.0,0.19568907,0.19455564,-0.089256644,-0.12873086,0.08781594,0.13171324,310.72516,354.0,62.441994,1.4213003,"{""type"":""MultiPoint"",""coordinates"":[]}"
65_0,3342.0,2577.0,1185.2106,1627.375,2140.7144,2402.0,2654.8,2792.5,2800.2,2931.0,0.24402231,0.26489106,0.04150858,-0.08820944,0.13347441,0.20019135,335.8916,2599.0,150.55644,12.982743,"{""type"":""MultiPoint"",""coordinates"":[]}"
66_0,4227.0,3549.0,1238.0,1780.0,2471.0,2809.0,2989.0,3122.0,3109.0,3142.0,0.18437175,0.27183473,-0.06608591,-0.15239912,0.114336915,0.17149001,301.57938,383.0,78.04194,8.786002,"{""type"":""MultiPoint"",""coordinates"":[]}"
67_0,5198.5,4451.5,1724.5,2392.5,3111.0,3479.5,3747.0,3932.0,4088.5,4169.0,0.24881004,0.26168802,-0.042505857,-0.119521916,0.13577332,0.20364584,338.82193,774.0,84.12396,20.03009,"{""type"":""MultiPoint"",""coordinates"":[]}"
68_0,2474.6667,2121.0,863.3333,1252.0,1523.3334,1737.25,1908.6666,2000.0,1966.6666,2015.0,0.239243,0.2220381,-0.037755862,-0.11438009,0.12702958,0.19051708,238.445,1096.0,123.741844,17.188421,"{""type"":""MultiPoint"",""coordinates"":[]}"
69_0,4193.0,3368.0,1610.0,2124.5,2621.5,2855.0,3080.5,3160.0,3096.5,3167.0,0.17588684,0.18617123,-0.041998606,-0.15042184,0.083071,0.12459561,159.44514,1879.0,132.72038,25.830488,"{""type"":""MultiPoint"",""coordinates"":[]}"
70_0,2821.0,2733.0,798.0,1109.0,1940.5,2132.0,2267.0,2379.5,2411.6667,2438.0,0.14595038,0.3700057,-0.062459487,-0.07822651,0.10826027,0.16237175,217.10408,797.0,93.47308,22.0943,"{""type"":""MultiPoint"",""coordinates"":[]}"
71_0,3146.0,2585.8,1198.4,1654.0,2195.5715,2512.2856,2711.5,2795.5,2662.25,2728.25,0.17035346,0.23359397,0.014567306,-0.0832867,0.096067436,0.14408633,15.21022,1168.0,115.801025,26.714401,"{""type"":""MultiPoint"",""coordinates"":[]}"
72_0,4356.0,3856.5,871.0,1383.0,2243.0,2482.0,2682.0,2843.0,2982.5,3010.5,0.18657282,0.3663956,-0.12779646,-0.18716359,0.14151756,0.21225603,149.76596,859.0,81.06941,10.612112,"{""type"":""MultiPoint"",""coordinates"":[]}"
73_0,3451.0,2725.5,1175.5,1665.0,2035.0,2315.5,2585.5,2717.0,2731.5,2764.0,0.2842277,0.24257933,0.0010995052,-0.11637687,0.14612399,0.219163,54.74539,1581.0,137.01236,21.43633,"{""type"":""MultiPoint"",""coordinates"":[]}"
