system:index,NDVI_2020,NDVI_2021,NDVI_2022,NDVI_2023,NDVI_2024,.geo
149_0,0.4185727,0.4231705,0.42451948,0.38532084,0.33909938,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.955789992230073,30.91547558720913]}"
150_0,0.13816537,0.124141,0.1307375,0.124183565,0.1254537,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.453627174125409,31.58813407195783]}"
151_0,0.14264531,0.1268893,0.115371294,0.11881076,0.12410508,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.939175733755714,31.642032989005]}"
152_0,0.15522674,0.13956197,0.14627582,0.14548996,0.14449345,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.410508040487673,31.443684974271406]}"
153_0,0.16940773,0.18094997,0.16918646,0.17841606,0.16868217,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.072211653051964,31.22835880066796]}"
154_0,0.13303867,0.1388692,0.120185144,0.12907578,0.11390631,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.933866525015706,31.752795263536935]}"
155_0,0.121302195,0.12604877,0.1271981,0.13457412,0.13793649,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.132578440144795,30.92571638144809]}"
156_0,0.07543169,0.07216507,0.072806835,0.07545909,0.06573667,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.75600009876004,31.761149595679246]}"
157_0,0.1278239,0.141877,0.13528267,0.15192443,0.1424121,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.424980065125699,31.040521074758566]}"
158_0,0.22516741,0.23196326,0.21471617,0.21127878,0.22424424,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.279991978268809,31.465244541090275]}"
159_0,0.08705748,0.0861189,0.09123682,0.09237145,0.08851562,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.721504791849851,31.433444180032446]}"
160_0,0.09141602,0.09250429,0.094984934,0.09196904,0.09390952,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.359128980517887,31.120560966573617]}"
161_0,0.115890004,0.11647425,0.13844085,0.12045717,0.12049001,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.932343963314554,30.755934792749503]}"
162_0,0.20933461,0.2012048,0.17343615,0.16955005,0.1804419,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.565561832808553,31.77974472206052]}"
163_0,0.43390682,0.38127303,0.32711276,0.186034,0.37388548,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.9222782578505635,32.00126927112439]}"
164_0,0.33486348,0.30143812,0.28025198,0.280874,0.27753577,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.669856237294829,31.83633858496005]}"
165_0,0.07456025,0.06254176,0.07036552,0.07762318,0.06996537,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.998370136697339,30.64678948572898]}"
166_0,0.0902892,0.09433858,0.09555507,0.10793352,0.084306814,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.547061112237542,30.74623298768101]}"
167_0,0.08013274,0.0839445,0.07262488,0.08337179,0.08475476,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.381497031092463,31.082292735470123]}"
168_0,0.2406238,0.24026081,0.22062932,0.21507908,0.20440468,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.381227536507227,31.75899363899736]}"
169_0,0.29838228,0.25721225,0.24446729,0.24233148,0.20758668,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.877906057096911,31.946022881151045]}"
170_0,0.10792693,0.095827214,0.10469659,0.10516227,0.09862278,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.668953347728859,30.802557355995305]}"
171_0,0.18530613,0.1675413,0.16659462,0.18092148,0.16075519,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.923006058641563,31.131071255397814]}"
172_0,0.15993714,0.14735529,0.112276725,0.14579949,0.1498724,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.627639993223064,31.82475031779491]}"
173_0,0.13519953,0.1377765,0.13515171,0.13214155,0.1329477,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.236778438820808,31.957072159145714]}"
174_0,0.34319603,0.32634056,0.32557282,0.33436346,0.36350262,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.499805154011004,31.603764757901505]}"
175_0,0.04589516,0.052980863,0.058275424,0.05730716,0.06237561,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.833169955947759,31.139156092954888]}"
176_0,0.09932929,0.10492758,0.08901889,0.09425937,0.09108949,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.598265083432356,31.848196346710427]}"
177_0,0.57470626,0.5379111,0.5006298,0.44921783,0.49661702,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.973846129440876,31.729349234621417]}"
178_0,0.07740362,0.07314769,0.075011596,0.07493543,0.0716487,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.759234033782871,30.592621074096574]}"
179_0,0.11367371,0.1163976,0.11908156,0.1205146,0.12423075,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.7511491962257955,31.40137432438938]}"
180_0,0.087368,0.086952075,0.081897184,0.08937271,0.08753014,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.002493238440586,30.553005370066902]}"
181_0,0.052779004,0.039658733,0.027875902,0.043767307,0.03853835,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.866951184912504,31.01950049711017]}"
182_0,0.109169096,0.10338307,0.10759836,0.10578801,0.10261809,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.084244503577314,31.32322089467098]}"
183_0,0.15449046,0.16667174,0.16376267,0.16800833,0.14194892,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.202108043135646,31.49947035341523]}"
184_0,0.11639595,0.13508725,0.1286961,0.13529287,0.115232304,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.561613819840279,30.775338402886483]}"
185_0,0.09473538,0.13200417,0.1162871,0.12115181,0.1045396,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.422729702633549,31.44072053383381]}"
186_0,0.11145337,0.11745606,0.10343799,0.10663013,0.094110064,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.136890353508569,30.768062049085117]}"
187_0,0.16203389,0.1410371,0.14101356,0.1450178,0.14172216,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.281784034555196,31.552021797536224]}"
188_0,0.17416948,0.17319892,0.142043,0.1421427,0.14202678,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.924973203702923,31.86032360304604]}"
189_0,0.14386748,0.15377355,0.16420253,0.12929673,0.124850936,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.706682589661879,30.99012558731946]}"
190_0,0.078345686,0.07661491,0.08042945,0.08455736,0.072392784,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.315106957314179,30.930028294811866]}"
191_0,0.12603264,0.11829848,0.112233944,0.11796566,0.11164946,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.280072661233518,31.929583711451656]}"
192_0,0.15820439,0.14475252,0.1786494,0.16463667,0.1321805,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.5899914342547525,31.136191652517294]}"
