system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,EVI,GNDVI,NBR,NDMI,NDVI,aspect,elevation,precipitation,slope,.geo
176_0,3653.0,3531.0,1016.0,1514.0,2190.0,2416.0,2470.0,2561.0,2558.0,2613.0,0.11387548,0.25638506,-0.15979636,-0.17630011,0.07750632,285.87717,1076.0,149.1141,3.386301,"{""type"":""MultiPoint"",""coordinates"":[]}"
177_0,4566.0,4011.0,1265.0,1772.0,2531.0,2789.0,2889.0,3035.0,3147.0,3195.0,0.17408015,0.27952835,-0.12070411,-0.1839751,0.1084889,165.36977,2185.0,155.64488,8.5628195,"{""type"":""MultiPoint"",""coordinates"":[]}"
178_0,3548.3333,3316.6667,1130.5,1585.8334,2042.6666,2292.0,2602.0,2751.0,2836.0,2903.5,0.29985765,0.28272587,-0.078123316,-0.1115752,0.16261275,318.5823,2906.0,215.01831,9.797831,"{""type"":""MultiPoint"",""coordinates"":[]}"
179_0,4491.5,4085.5,1402.6666,2026.0,2946.3333,3194.0,3300.5,3441.0,3519.0,3536.0,0.13407631,0.26925159,-0.07449537,-0.12140316,0.088574976,60.350353,1771.0,116.28182,3.7444081,"{""type"":""MultiPoint"",""coordinates"":[]}"
180_0,2707.0,2349.4,855.5,1246.3077,1954.4,2206.0,2400.4,2615.2322,2721.8,2758.3333,0.23882882,0.37183776,0.07343432,0.00272621,0.1641076,304.1623,1631.0,152.487,6.577728,"{""type"":""MultiPoint"",""coordinates"":[]}"
181_0,5416.0,4608.5,1436.0,2170.4,3306.6667,3646.5,3742.75,3892.5,3935.3333,3948.75,0.12083853,0.28906167,-0.07878978,-0.1583375,0.08680841,163.6127,1144.0,149.6436,11.446421,"{""type"":""MultiPoint"",""coordinates"":[]}"
182_0,4676.0,4161.5,1329.0,1946.0,2905.0,3196.0,3306.0,3435.0,3493.0,3556.6667,0.13416693,0.2844273,-0.087334245,-0.14481577,0.09190372,113.12798,1526.0,82.911545,2.3599763,"{""type"":""MultiPoint"",""coordinates"":[]}"
183_0,4667.0,4178.0,1228.0,1895.0,2804.0,3105.0,3245.0,3375.0,3471.0,3495.0,0.15041494,0.29370108,-0.09243038,-0.14696486,0.10629482,210.44324,1793.0,156.34166,4.2951818,"{""type"":""MultiPoint"",""coordinates"":[]}"
184_0,4225.0,4059.0,1338.0,1933.0,2548.0,2749.0,2811.0,2905.0,2958.0,2957.0,0.12481734,0.20956859,-0.15690465,-0.1763887,0.074464224,-0.0,1686.0,191.61102,2.7802885,"{""type"":""MultiPoint"",""coordinates"":[]}"
185_0,5363.0,4755.3335,1691.5834,2462.9092,3292.3333,3593.875,3875.5,4062.7144,4155.5,4159.1665,0.1922656,0.25573984,-0.06731508,-0.12685822,0.11589502,278.39594,2542.0,177.70894,41.57056,"{""type"":""MultiPoint"",""coordinates"":[]}"
186_0,3359.0,2947.0,1138.0,1650.0,2355.0,2574.0,2630.0,2758.0,2818.0,2808.0,0.13756834,0.2614145,-0.022376409,-0.08758297,0.08950319,350.92892,1388.0,145.7534,19.831398,"{""type"":""MultiPoint"",""coordinates"":[]}"
187_0,3706.3333,3252.5,1186.0,1737.6666,2262.5,2550.0,2731.0,2836.3333,2880.5,2945.8333,0.20432454,0.24746473,-0.06065547,-0.12537637,0.12016333,13.257651,2588.0,184.37561,9.442443,"{""type"":""MultiPoint"",""coordinates"":[]}"
188_0,3761.25,3311.5,1011.5,1575.1666,2129.0,2380.3333,2708.0,2891.0,2980.0,3010.0,0.26044378,0.3084044,-0.052690137,-0.11589097,0.1665688,316.71817,2021.0,187.62968,6.344162,"{""type"":""MultiPoint"",""coordinates"":[]}"
189_0,3750.0,3384.5,1389.0,2005.0,2613.6667,2802.8333,2898.5454,2993.3635,2996.375,3054.6667,0.1158055,0.19822049,-0.060826298,-0.11170814,0.06821843,350.48022,2729.0,176.60631,19.018564,"{""type"":""MultiPoint"",""coordinates"":[]}"
190_0,2899.0,2670.3333,1167.4445,1568.45,1914.6666,2031.25,2165.5,2277.0,2307.5,2330.5,0.19483207,0.19067585,-0.0728898,-0.11360799,0.093040705,199.88412,2095.0,202.05219,24.111609,"{""type"":""MultiPoint"",""coordinates"":[]}"
191_0,3462.15,3191.5,1026.75,1505.0834,2028.5416,2274.3333,2475.2,2582.8,2608.0833,2707.5,0.20464884,0.26816317,-0.10059632,-0.14069751,0.12499213,173.2772,2044.0,150.79114,9.257709,"{""type"":""MultiPoint"",""coordinates"":[]}"
192_0,4134.0,3539.8,1239.1666,1761.4615,2327.3635,2601.4,2918.8,3155.4285,3307.3333,3378.0,0.3070556,0.30497816,-0.033950966,-0.11109121,0.17391703,257.97186,2980.0,217.78389,21.22601,"{""type"":""MultiPoint"",""coordinates"":[]}"
193_0,3996.0,3534.0,1185.0,1806.0,2486.0,2842.0,3047.0,3150.0,3143.0,3168.0,0.17906787,0.27015558,-0.05855923,-0.11948452,0.116717,130.48512,1149.0,153.61273,4.277703,"{""type"":""MultiPoint"",""coordinates"":[]}"
194_0,4779.0,4106.0,1503.0,2156.0,3013.0,3266.0,3391.0,3541.0,3582.0,3622.0,0.13693026,0.24851865,-0.06815817,-0.1431647,0.086277485,146.08916,1753.0,156.68011,39.32544,"{""type"":""MultiPoint"",""coordinates"":[]}"
195_0,2715.0,2387.0,1169.5,1678.1666,2222.9167,2364.3333,2382.4,2449.8572,2413.125,2449.4443,0.0681225,0.1796397,0.0054425667,-0.058866546,0.041028157,30.338095,1560.0,104.200264,6.42091,"{""type"":""MultiPoint"",""coordinates"":[]}"
196_0,2902.5715,2611.2,846.5,1261.1666,1743.875,1996.8,2337.3125,2514.1667,2582.6,2642.125,0.3130459,0.34378606,-0.0055065374,-0.058333896,0.19385876,66.97606,2110.0,188.96663,18.320202,"{""type"":""MultiPoint"",""coordinates"":[]}"
197_0,3398.0,2986.0,1145.0,1703.0,2261.0,2459.0,2509.0,2581.0,2543.0,2559.0,0.09371884,0.19783325,-0.080122985,-0.14391516,0.058701083,121.35093,1277.0,149.16344,8.84253,"{""type"":""MultiPoint"",""coordinates"":[]}"
198_0,3895.0,3698.0,1214.0,1708.0,2291.0,2484.0,2599.0,2719.0,2816.0,2815.0,0.17598552,0.244916,-0.13540068,-0.1607808,0.10280008,218.87672,2680.0,179.73346,21.557896,"{""type"":""MultiPoint"",""coordinates"":[]}"
199_0,3971.0,3804.0,980.0,1549.0,2402.0,2676.0,2758.0,2869.0,2822.0,2805.0,0.10622155,0.2912377,-0.14820404,-0.1691447,0.080398165,113.087006,1135.0,145.79489,2.3639307,"{""type"":""MultiPoint"",""coordinates"":[]}"
