system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,EVI,GNDVI,NBR,NDMI,NDVI,SAVI,aspect,elevation,precipitation,slope,.geo
68_0,5005.5,4527.5,1216.0,1893.0,2952.0,3344.0,3509.5,3673.0,3714.0,3832.5,0.15478995,0.3247726,-0.09870776,-0.14811629,0.114311434,0.17145428,333.64575,509.0,41.178066,7.2072287,"{""type"":""MultiPoint"",""coordinates"":[]}"
69_0,4152.0,4056.0,933.0,1453.0,2464.0,2743.0,2827.0,2980.0,3131.0,3138.0,0.15272245,0.36605585,-0.12870461,-0.14018948,0.11921358,0.1788044,180.0,72.0,50.160942,1.8543341,"{""type"":""MultiPoint"",""coordinates"":[]}"
70_0,4375.5,3455.5,3766.0,4277.0,4773.5,5145.0,5314.5,5514.5,5423.5,5482.0,0.27918562,0.11818978,0.22164658,0.10694969,0.06374424,0.09561167,201.14713,155.0,59.77262,2.9806905,"{""type"":""MultiPoint"",""coordinates"":[]}"
71_0,3431.0,2951.5,848.5,1167.5,1671.5,2052.0,2287.0,2447.5,2495.0,2674.5,0.33414486,0.36245733,-0.08381529,-0.15794803,0.1976479,0.29643628,270.0,147.0,59.39893,1.0760816,"{""type"":""MultiPoint"",""coordinates"":[]}"
72_0,4076.5,3389.0,1159.5,1610.0,2193.5,2286.0,2441.0,2593.5,2897.0,2769.0,0.23887135,0.2855558,-0.07826917,-0.16914032,0.1381986,0.20727755,328.09222,1013.0,41.547695,26.372074,"{""type"":""MultiPoint"",""coordinates"":[]}"
73_0,4399.0,4141.0,1335.0,2066.0,3100.0,3475.0,3526.5,3671.5,3675.0,3683.0,0.11721776,0.28026477,-0.05962129,-0.08967055,0.084870845,0.12729688,113.40064,146.0,38.928616,2.334027,"{""type"":""MultiPoint"",""coordinates"":[]}"
74_0,4128.0,3085.0,2372.0,3120.0,3920.0,4245.0,4531.0,4752.0,4833.0,4875.0,0.21606399,0.21539041,0.22076282,0.07867426,0.10430709,0.1564517,270.0,143.0,49.919865,2.1485987,"{""type"":""MultiPoint"",""coordinates"":[]}"
75_0,3872.0,3374.0,901.0,1340.0,2117.0,2395.0,2550.0,2735.0,2840.0,2919.0,0.20573673,0.35885167,-0.08593499,-0.15375447,0.14585435,0.21875946,-0.0,141.0,42.883465,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
76_0,4630.0,4270.0,1406.0,2040.0,3039.0,3373.0,3421.0,3548.0,3573.0,3603.0,0.1185297,0.273116,-0.08886906,-0.1288553,0.08076225,0.121134214,-0.0,382.0,42.636448,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
77_0,4887.5,4320.0,1498.0,2272.5,3428.0,3761.0,3842.5,3950.5,3948.5,3948.0,0.09796725,0.26941007,-0.044929553,-0.10626981,0.07056192,0.105835706,257.7858,1382.0,41.73722,4.375388,"{""type"":""MultiPoint"",""coordinates"":[]}"
78_0,4120.0,3896.0,1056.0,1620.0,2585.0,2881.0,3018.0,3130.0,3248.0,3249.0,0.15292001,0.33442894,-0.090705484,-0.11834962,0.113663636,0.17048085,293.3249,77.0,50.93861,2.3411732,"{""type"":""MultiPoint"",""coordinates"":[]}"
79_0,2729.0,2402.0,1022.0,1390.0,1897.0,2215.0,2333.0,2449.0,2412.0,2517.0,0.21003263,0.2688059,0.0020772747,-0.061661154,0.11951729,0.17925513,270.0,646.0,35.756863,4.277887,"{""type"":""MultiPoint"",""coordinates"":[]}"
80_0,4420.0,3876.0,963.0,1451.0,2213.0,2630.0,2796.0,3015.0,3084.0,3273.0,0.23822547,0.3600882,-0.113793105,-0.17803837,0.1644327,0.24662577,-0.0,252.0,56.7743,2.7802885,"{""type"":""MultiPoint"",""coordinates"":[]}"
81_0,4889.5,4236.0,1146.5,1697.0,2527.0,2902.5,3067.5,3244.5,3304.5,3400.0,0.1969601,0.3214036,-0.12353292,-0.19343422,0.13332762,0.19997428,98.194435,820.0,40.518234,24.431768,"{""type"":""MultiPoint"",""coordinates"":[]}"
82_0,3917.5,3590.5,1697.5,2020.5,2725.0,3012.0,3142.0,3258.0,3293.0,3282.5,0.20541753,0.23948433,-0.04321929,-0.0866098,0.094383515,0.14156352,130.87035,133.0,45.39377,2.832539,"{""type"":""MultiPoint"",""coordinates"":[]}"
83_0,4551.0,3935.0,1176.0,1754.0,2624.0,3203.0,3426.0,3592.0,3527.0,3729.0,0.21598737,0.33573186,-0.054677032,-0.12676404,0.14680539,0.2201902,336.58267,603.0,38.031406,22.946743,"{""type"":""MultiPoint"",""coordinates"":[]}"
