system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,EVI,GNDVI,NBR,NDMI,NDVI,aspect,elevation,precipitation,slope,.geo
81_0,2981.6667,2721.5,984.75,1471.25,2127.25,2294.3333,2342.0,2423.5,2469.4167,2455.0,0.10899402,0.25329894,-0.048562378,-0.09397215,0.07443801,285.9705,1369.0,85.22299,6.711037,"{""type"":""MultiPoint"",""coordinates"":[]}"
82_0,2988.0,2605.5,714.5,1159.0,1840.0,2078.0,2164.0,2277.5,2262.0,2264.5,0.13280046,0.32242036,-0.07057011,-0.13828571,0.10287665,142.23526,1860.0,133.64656,13.805466,"{""type"":""MultiPoint"",""coordinates"":[]}"
83_0,2542.0,2272.0,1166.5,1588.0,2298.5,2465.5,2547.0,2628.5,2637.5,2577.0,0.11034079,0.24837297,0.0744475,0.018438073,0.068679094,149.86583,1575.0,98.44129,8.516145,"{""type"":""MultiPoint"",""coordinates"":[]}"
84_0,3544.0,3253.0,1120.0,1625.25,2141.3333,2355.3333,2408.5,2522.0,2522.75,2567.0,0.13677225,0.21636933,-0.12643379,-0.1683356,0.08177743,161.53694,1401.0,157.15652,6.8124638,"{""type"":""MultiPoint"",""coordinates"":[]}"
85_0,4044.0,3478.5,1061.5,1612.5,2332.5,2493.5,2544.0,2647.5,2668.0,2683.5,0.09637758,0.24658334,-0.13186367,-0.20500596,0.06709329,108.31634,1533.0,155.38797,14.442718,"{""type"":""MultiPoint"",""coordinates"":[]}"
86_0,3722.5,3518.0,871.0,1338.4,2270.0,2518.5,2627.0,2781.6667,2828.0,2900.0,0.14067464,0.35752687,-0.10872991,-0.13655446,0.10945469,345.43066,1786.0,179.88614,16.75499,"{""type"":""MultiPoint"",""coordinates"":[]}"
87_0,2384.5,2181.5,929.3333,1238.0,1744.5,1883.5,1967.0,2036.0,1999.0,2031.5,0.11574495,0.23509422,-0.043655064,-0.08794343,0.06798451,260.22275,1364.0,95.98969,5.445207,"{""type"":""MultiPoint"",""coordinates"":[]}"
88_0,1819.0,1597.0,837.0,1108.0,1467.0,1524.0,1555.0,1630.0,1710.0,1664.0,0.14343053,0.21362668,0.034169942,-0.030886937,0.07648725,256.59467,2020.0,188.45235,19.244986,"{""type"":""MultiPoint"",""coordinates"":[]}"
89_0,3219.5,3139.5,964.5,1441.5,1924.5,2078.0,2104.5,2174.5,2149.5,2159.0,0.08702379,0.19715956,-0.18718094,-0.19929223,0.055228278,49.27817,1310.0,123.047905,2.841045,"{""type"":""MultiPoint"",""coordinates"":[]}"
90_0,3548.0,3256.0,1195.0,1730.0,2609.0,2787.0,2861.6667,2933.5,2992.0,2994.0,0.098869324,0.26725963,-0.04225352,-0.08501529,0.06838065,141.3895,1472.0,87.29463,18.338259,"{""type"":""MultiPoint"",""coordinates"":[]}"
91_0,3457.0,3065.0,1250.0,1768.0,2211.0,2518.0,2734.0,2847.0,2747.0,2862.0,0.20183763,0.21683279,-0.054714385,-0.1144423,0.10810811,324.93915,2498.0,282.80606,30.680239,"{""type"":""MultiPoint"",""coordinates"":[]}"
92_0,3673.5,3077.0,991.2143,1434.2727,1994.75,2226.0,2601.3333,2835.5,2952.0,2924.5,0.3196206,0.34601754,-0.020733124,-0.10889744,0.19351089,342.09094,1007.0,197.17555,31.48475,"{""type"":""MultiPoint"",""coordinates"":[]}"
