system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,EVI,GNDVI,NBR,NDMI,NDVI,aspect,elevation,precipitation,slope,.geo
98_0,3402.2,2974.0,947.5,1363.6666,1955.0,2175.0,2216.5,2292.0,2244.75,2274.0,0.10544799,0.24417451,-0.13973653,-0.20496905,0.068992205,-0.0,997.0,164.76567,4.6273675,"{""type"":""MultiPoint"",""coordinates"":[]}"
99_0,3294.0,2896.0,1041.75,1523.5,2317.1667,2513.3333,2571.3333,2611.25,2593.0,2594.0,0.07940961,0.2598081,-0.05520131,-0.11907593,0.056175943,322.21494,1396.0,181.80127,10.444883,"{""type"":""MultiPoint"",""coordinates"":[]}"
100_0,4060.0,3586.0,1189.0,1779.0,2550.0,2775.0,2803.0,2916.0,2957.0,2937.0,0.10893421,0.2487331,-0.09613327,-0.15718968,0.07390594,195.6419,1600.0,157.76582,22.794983,"{""type"":""MultiPoint"",""coordinates"":[]}"
101_0,2859.0,2713.0,714.4,970.5,1432.0,1453.5,1540.5,1632.0,1701.0,1722.0,0.13624392,0.27344188,-0.2292705,-0.25394738,0.0858602,251.09204,1680.0,136.44891,21.78351,"{""type"":""MultiPoint"",""coordinates"":[]}"
102_0,3507.0,3036.0,991.0,1495.0,2127.0,2270.0,2285.0,2327.0,2348.0,2297.0,0.07195416,0.221962,-0.12778603,-0.19795047,0.049385473,235.55963,972.0,156.8448,6.5315013,"{""type"":""MultiPoint"",""coordinates"":[]}"
103_0,3355.0,3275.0,998.5,1487.0,2007.0,2155.3333,2195.0,2280.0,2242.0,2218.0,0.08644473,0.20246714,-0.18723944,-0.19885653,0.05530713,180.0,1341.0,158.18245,0.92740995,"{""type"":""MultiPoint"",""coordinates"":[]}"
104_0,4472.0,3624.0,1435.0,2050.0,2883.0,3139.0,3200.0,3314.0,3355.0,3386.0,0.119294345,0.24144311,-0.038544204,-0.14271113,0.07566528,130.52885,1818.0,154.34589,8.500753,"{""type"":""MultiPoint"",""coordinates"":[]}"
105_0,4994.0,4446.5,1556.5,2249.0,3030.0,3392.5,3468.0,3615.0,3667.0,3678.5,0.15652259,0.23968898,-0.09607445,-0.15321556,0.09511722,49.27882,800.0,160.26248,1.4214149,"{""type"":""MultiPoint"",""coordinates"":[]}"
106_0,3263.0,2784.0,1196.5,1699.5,2571.5,2787.0,2942.5,2984.5,3085.5,3045.0,0.13467132,0.28965518,0.05136724,-0.02795936,0.09086088,219.06602,1694.0,135.47107,25.619234,"{""type"":""MultiPoint"",""coordinates"":[]}"
107_0,3420.0,3128.0,786.0,1090.0,1610.0,1786.0,1858.0,1894.0,1836.0,1832.0,0.10085683,0.25495556,-0.26027396,-0.30136988,0.06558329,60.26449,923.0,147.34177,3.7346077,"{""type"":""MultiPoint"",""coordinates"":[]}"
108_0,3789.0,3476.0,1060.0,1560.0,2269.0,2491.0,2544.0,2634.0,2642.0,2661.0,0.112254724,0.25749642,-0.13631906,-0.17835484,0.07595194,43.582664,1067.0,179.3892,13.810485,"{""type"":""MultiPoint"",""coordinates"":[]}"
109_0,4064.0,3586.0,1021.0,1512.0,2155.0,2384.0,2465.0,2529.0,2486.0,2504.0,0.10664347,0.24362181,-0.18115942,-0.24091603,0.07132084,331.49918,890.0,143.04655,15.445555,"{""type"":""MultiPoint"",""coordinates"":[]}"
