system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,EVI,GNDVI,NBR,NDMI,NDVI,SAVI,aspect,elevation,precipitation,slope,.geo
101_0,3540.5,2914.0,1077.0,1582.0,1931.5,2267.5,2517.0,2648.0,2662.5,2755.5,0.29595143,0.25456473,-0.045099974,-0.14154442,0.15912059,0.23865491,78.584915,1773.0,244.47316,18.11631,"{""type"":""MultiPoint"",""coordinates"":[]}"
102_0,2695.0,2258.5,1256.5,1674.0,2175.5,2420.0,2595.5,2707.5,2713.0,2727.0,0.21183936,0.2368361,0.0914211,0.0033284023,0.10995193,0.16491103,314.46063,2427.0,180.33453,20.293627,"{""type"":""MultiPoint"",""coordinates"":[]}"
103_0,3986.0,3550.5,1084.0,1596.5,2170.0,2401.0,2446.5,2586.5,2633.5,2661.0,0.15399694,0.24515367,-0.1482859,-0.20432056,0.09649214,0.14472315,180.0,1210.0,185.03915,20.421242,"{""type"":""MultiPoint"",""coordinates"":[]}"
104_0,4070.0,3471.0,1283.0,1841.5,2291.0,2449.5,2526.0,2640.5,2686.5,2655.5,0.14516959,0.18661661,-0.1274056,-0.20476578,0.07945756,0.11917437,169.97617,1794.0,282.5197,28.478817,"{""type"":""MultiPoint"",""coordinates"":[]}"
105_0,4995.5,4473.5,1384.0,2088.0,3164.0,3517.5,3583.0,3714.0,3755.5,3803.5,0.11963513,0.2853598,-0.0872524,-0.14169809,0.08548305,0.12821531,221.05624,712.0,102.4038,4.907912,"{""type"":""MultiPoint"",""coordinates"":[]}"
106_0,4293.5,3742.0,1187.5,1772.0,2425.5,2623.5,2719.0,2855.0,2970.0,2962.0,0.15795887,0.25263602,-0.115017876,-0.18221243,0.10091743,0.15136212,121.3064,1712.0,188.30766,27.906061,"{""type"":""MultiPoint"",""coordinates"":[]}"
107_0,2167.5,1333.0,371.5,714.0,658.5,1219.0,2699.5,3207.0,3320.0,3350.0,1.4833082,0.6460089,0.42703632,0.21002278,0.6689707,1.00333,270.0,1604.0,218.81558,12.750613,"{""type"":""MultiPoint"",""coordinates"":[]}"
108_0,3698.125,3061.5,873.0417,1333.1666,1939.3334,2350.25,2749.6667,2956.6,3072.75,3128.75,0.34716532,0.39482895,0.0018339651,-0.09236251,0.22613683,0.3391714,90.0,529.0,97.03763,1.0779127,"{""type"":""MultiPoint"",""coordinates"":[]}"
109_0,2894.0,2611.5,1000.0,1430.6,2057.5,2296.75,2463.75,2579.3333,2640.7917,2636.3333,0.1947736,0.29724276,0.0055769463,-0.04574847,0.12414975,0.1862048,276.54282,815.0,143.46739,15.861535,"{""type"":""MultiPoint"",""coordinates"":[]}"
110_0,3560.5,3164.0,932.5,1395.5,2016.5,2232.0,2335.0,2483.5,2530.5,2530.5,0.1682653,0.28909832,-0.111247696,-0.16910195,0.113041565,0.1695437,239.40215,2262.0,336.69955,32.45841,"{""type"":""MultiPoint"",""coordinates"":[]}"
111_0,5471.0,5203.0,1631.5,2360.5,3541.0,3881.0,3979.0,4103.5,4166.0,4203.0,0.11858007,0.2766414,-0.11068417,-0.13541558,0.08109511,0.121634774,149.84096,433.0,80.814735,2.1443934,"{""type"":""MultiPoint"",""coordinates"":[]}"
112_0,2720.5,2261.0,865.5,1174.5,1765.5,1998.5,2170.5,2283.0,2307.0,2368.5,0.21120168,0.32529083,0.010070053,-0.08224764,0.13296501,0.19942303,168.55045,2826.0,207.41629,20.800701,"{""type"":""MultiPoint"",""coordinates"":[]}"
113_0,3267.5,2629.5,790.5,1124.0,1517.5,1763.0,2112.0,2310.0,2454.5,2479.5,0.41594532,0.37180382,-0.034421716,-0.14208318,0.23590131,0.35380742,11.949851,1433.0,137.56319,20.002495,"{""type"":""MultiPoint"",""coordinates"":[]}"
114_0,3740.0,3324.5,875.5,1149.0,1545.5,1762.5,1827.0,1973.0,2050.5,2189.0,0.26532865,0.28176278,-0.23702325,-0.291771,0.14043382,0.21062143,329.87018,366.0,59.216434,2.1437593,"{""type"":""MultiPoint"",""coordinates"":[]}"
115_0,3935.5,3560.5,1198.0,1750.5,2539.5,2766.0,2839.5,2927.0,2943.5,2971.5,0.10982439,0.25415424,-0.094864696,-0.144207,0.07368229,0.11051336,-0.0,691.0,154.41339,1.8543341,"{""type"":""MultiPoint"",""coordinates"":[]}"
116_0,4902.3335,4229.1665,1183.6666,1776.1428,2543.0,2962.6,3157.6667,3381.4,3400.4285,3566.0,0.21913584,0.31377634,-0.1086215,-0.18089221,0.14426497,0.21637924,262.99808,825.0,141.30995,14.873583,"{""type"":""MultiPoint"",""coordinates"":[]}"
117_0,3717.0,3246.5,1052.0,1490.5,2010.0,2246.5,2392.0,2528.5,2606.0,2637.5,0.2198613,0.27230564,-0.10944041,-0.17570773,0.12911612,0.1936532,120.31211,2097.0,196.17616,25.692255,"{""type"":""MultiPoint"",""coordinates"":[]}"
118_0,4741.5,4279.5,1314.5,1935.0,2778.5,3216.5,3405.0,3639.0,3672.0,3767.0,0.21303736,0.30979133,-0.07640068,-0.12711713,0.1385164,0.20775849,180.0,340.0,65.089935,1.8543341,"{""type"":""MultiPoint"",""coordinates"":[]}"
119_0,4928.0,4514.0,1503.0,2061.5,3127.5,3371.0,3486.0,3667.0,3867.5,3794.0,0.16283777,0.3046045,-0.07713416,-0.12057302,0.10578985,0.15867344,347.60745,2279.0,180.33453,41.29668,"{""type"":""MultiPoint"",""coordinates"":[]}"
120_0,3424.0,2732.5,879.0,1346.0,1763.5,2158.0,2624.0,2835.5,2949.5,3013.0,0.427295,0.37329763,0.03819078,-0.07444889,0.2516444,0.37742653,36.497917,1790.0,233.3412,46.318817,"{""type"":""MultiPoint"",""coordinates"":[]}"
121_0,4530.0,4028.5,1161.5,1741.5,2582.0,2936.5,3071.0,3220.5,3238.5,3383.0,0.16379333,0.3006024,-0.10871061,-0.1662483,0.112790994,0.16917196,138.88707,737.0,133.6185,4.9121265,"{""type"":""MultiPoint"",""coordinates"":[]}"
122_0,3800.0,3329.25,875.6,1301.0,1945.5,2171.5,2372.6667,2484.75,2637.25,2639.5,0.22331084,0.33930045,-0.11598089,-0.18062837,0.15094648,0.22639503,227.83987,1246.0,148.8118,25.750319,"{""type"":""MultiPoint"",""coordinates"":[]}"
123_0,3430.5,2934.0,922.5,1319.0,1804.0,2033.5,2295.5,2457.0,2558.5,2599.0,0.29177463,0.31966475,-0.068365954,-0.14560027,0.1729513,0.2593972,161.2365,1750.0,184.25504,22.308973,"{""type"":""MultiPoint"",""coordinates"":[]}"
124_0,3406.5,3244.5,1238.0,1668.0,2407.5,2709.5,2816.5,2888.5,2861.5,2892.5,0.1414771,0.26349488,-0.06272519,-0.08694959,0.086164355,0.12923427,-0.0,579.0,95.33891,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
125_0,3935.6,3410.5,1131.0,1645.5,2269.9,2621.625,3160.0,3339.6667,3394.3333,3475.75,0.32946634,0.3470022,-0.0023757743,-0.07384335,0.19851467,0.2977457,158.81512,566.0,113.22291,2.9814498,"{""type"":""MultiPoint"",""coordinates"":[]}"
126_0,2568.0,2128.5,1161.5,1596.0,1870.5,2005.5,2065.5,2144.0,2118.0,2135.0,0.13361767,0.14054927,-0.0024726244,-0.09603073,0.062053405,0.093068436,234.03499,2673.0,289.36456,16.867197,"{""type"":""MultiPoint"",""coordinates"":[]}"
127_0,2457.0,2153.5,1187.0,1503.5,1893.5,2044.0,2076.0,2186.0,2234.5,2208.5,0.18161483,0.19555913,0.018459436,-0.047426198,0.08260659,0.12389488,250.34534,2025.0,267.83484,25.70046,"{""type"":""MultiPoint"",""coordinates"":[]}"
128_0,4071.5,3345.0,1290.5,1815.5,2401.5,2612.0,2736.0,2881.5,2972.0,2988.5,0.18514912,0.24156658,-0.059047017,-0.15610138,0.106169164,0.15923893,206.5442,2544.0,243.66527,14.215816,"{""type"":""MultiPoint"",""coordinates"":[]}"
129_0,3250.5,2764.0,631.5,1007.0,1582.0,1847.0,2107.5,2246.0,2307.0,2380.5,0.25659177,0.39227518,-0.09012029,-0.16977058,0.18642324,0.27959892,55.45348,1211.0,124.686806,12.863956,"{""type"":""MultiPoint"",""coordinates"":[]}"
130_0,3257.5,2774.0,950.6667,1471.9,2027.6666,2375.5,2799.5,2974.375,3095.5,3161.5,0.3282611,0.35547575,0.054774683,-0.025499763,0.20843229,0.31261793,210.16649,581.0,124.72736,2.1445549,"{""type"":""MultiPoint"",""coordinates"":[]}"
131_0,4033.0,3583.0,950.0,1414.0,2117.0,2400.0,2547.0,2673.0,2730.5,2858.5,0.18460011,0.3176499,-0.13502811,-0.19257781,0.12656008,0.18982054,136.21175,1088.0,133.6185,20.867054,"{""type"":""MultiPoint"",""coordinates"":[]}"
132_0,4213.0,3420.0,1109.5,1574.5,2135.5,2443.0,2722.5,2870.5,3032.5,3027.0,0.29799673,0.31647494,-0.060054243,-0.16292872,0.17356811,0.26032698,325.01242,2666.0,196.17616,11.176888,"{""type"":""MultiPoint"",""coordinates"":[]}"
133_0,3781.5,2873.5,1061.5,1494.5,2195.0,2523.5,3004.0,3375.5,3567.5,3634.5,0.3909254,0.40952194,0.10774724,-0.029119609,0.23817788,0.35723582,270.0,458.0,79.9331,1.0776528,"{""type"":""MultiPoint"",""coordinates"":[]}"
134_0,3155.5,2611.5,1360.5,1819.5,2225.0,2378.0,2450.0,2527.5,2470.0,2500.0,0.10903912,0.15164937,-0.02784611,-0.12185583,0.052183174,0.07826643,50.36894,2413.0,273.50174,35.39804,"{""type"":""MultiPoint"",""coordinates"":[]}"
135_0,3245.0,2783.5,1259.0,1669.5,2146.0,2318.5,2378.5,2480.0,2447.5,2511.0,0.12814519,0.18897255,-0.06423246,-0.14009662,0.065636225,0.09844362,65.75574,2143.0,273.50174,39.620083,"{""type"":""MultiPoint"",""coordinates"":[]}"
